Sector,Average Yearly Return 
ALUMINIUM,2023.7852112676057
AUTOMOBILES,2023.7852112676057
BANKING,2023.7852112676057
CEMENT,2023.7852112676057
ENERGY,2023.7852112676057
ENGINEERING,2023.7852112676057
FINANCE,2023.7852112676057
FOOD & TOBACCO,2023.7852112676057
INSURANCE,2023.7852112676057
MINING,2023.7852112676057
MISCELLANEOUS,2023.7852112676057
PAINTS,2023.7852112676057
PHARMACEUTICALS,2023.7852112676057
POWER,2023.7852112676057
RETAILING,2023.7852112676057
SOFTWARE,2023.7852112676057
STEEL,2023.7852112676057
TELECOM,2023.7852112676057
