Year,Quarter,Month,Day,Month_Year,Percent of MonthlyReturn,Symbol
2023,Qtr 4,October,31,2023-10,1,TATASTEEL
2023,Qtr 4,October,31,2023-10,1,TECHM
2023,Qtr 4,October,31,2023-10,1,TITAN
2023,Qtr 4,October,31,2023-10,1,TRENT
2023,Qtr 4,October,31,2023-10,1,ULTRACEMCO
2023,Qtr 4,November,30,2023-11,1,TATASTEEL
2023,Qtr 4,November,30,2023-11,1,TECHM
2023,Qtr 4,November,30,2023-11,1,TITAN
2023,Qtr 4,November,30,2023-11,1,TRENT
2023,Qtr 4,November,30,2023-11,1,ULTRACEMCO
2023,Qtr 4,December,29,2023-12,1,TATASTEEL
2023,Qtr 4,December,29,2023-12,1,TECHM
2023,Qtr 4,December,29,2023-12,1,TITAN
2023,Qtr 4,December,29,2023-12,1,TRENT
2023,Qtr 4,December,29,2023-12,1,ULTRACEMCO
2024,Qtr 1,January,31,2024-01,1,TATASTEEL
2024,Qtr 1,January,31,2024-01,1,TECHM
2024,Qtr 1,January,31,2024-01,1,TITAN
2024,Qtr 1,January,31,2024-01,1,TRENT
2024,Qtr 1,January,31,2024-01,1,ULTRACEMCO
2024,Qtr 1,February,29,2024-02,1,TATASTEEL
2024,Qtr 1,February,29,2024-02,1,TECHM
2024,Qtr 1,February,29,2024-02,1,TITAN
2024,Qtr 1,February,29,2024-02,1,TRENT
2024,Qtr 1,February,29,2024-02,1,ULTRACEMCO
2024,Qtr 1,March,28,2024-03,1,TATASTEEL
2024,Qtr 1,March,28,2024-03,1,TECHM
2024,Qtr 1,March,28,2024-03,1,TITAN
2024,Qtr 1,March,28,2024-03,1,TRENT
2024,Qtr 1,March,28,2024-03,1,ULTRACEMCO
2024,Qtr 2,April,30,2024-04,1,TATASTEEL
2024,Qtr 2,April,30,2024-04,1,TECHM
2024,Qtr 2,April,30,2024-04,1,TITAN
2024,Qtr 2,April,30,2024-04,1,TRENT
2024,Qtr 2,April,30,2024-04,1,ULTRACEMCO
2024,Qtr 2,May,31,2024-05,1,TATASTEEL
2024,Qtr 2,May,31,2024-05,1,TECHM
2024,Qtr 2,May,31,2024-05,1,TITAN
2024,Qtr 2,May,31,2024-05,1,TRENT
2024,Qtr 2,May,31,2024-05,1,ULTRACEMCO
2024,Qtr 2,June,28,2024-06,1,TATASTEEL
2024,Qtr 2,June,28,2024-06,1,TECHM
2024,Qtr 2,June,28,2024-06,1,TITAN
2024,Qtr 2,June,28,2024-06,1,TRENT
2024,Qtr 2,June,28,2024-06,1,ULTRACEMCO
2024,Qtr 3,July,31,2024-07,1,TATASTEEL
2024,Qtr 3,July,31,2024-07,1,TECHM
2024,Qtr 3,July,31,2024-07,1,TITAN
2024,Qtr 3,July,31,2024-07,1,TRENT
2024,Qtr 3,July,31,2024-07,1,ULTRACEMCO
2024,Qtr 3,August,30,2024-08,1,TATASTEEL
2024,Qtr 3,August,30,2024-08,1,TECHM
2024,Qtr 3,August,30,2024-08,1,TITAN
2024,Qtr 3,August,30,2024-08,1,TRENT
2024,Qtr 3,August,30,2024-08,1,ULTRACEMCO
2024,Qtr 3,September,30,2024-09,1,TATASTEEL
2024,Qtr 3,September,30,2024-09,1,TECHM
2024,Qtr 3,September,30,2024-09,1,TITAN
2024,Qtr 3,September,30,2024-09,1,TRENT
2024,Qtr 3,September,30,2024-09,1,ULTRACEMCO
2024,Qtr 4,October,31,2024-10,1,TATASTEEL
2024,Qtr 4,October,31,2024-10,1,TECHM
2024,Qtr 4,October,31,2024-10,1,TITAN
2024,Qtr 4,October,31,2024-10,1,TRENT
2024,Qtr 4,October,31,2024-10,1,ULTRACEMCO
2024,Qtr 4,November,22,2024-11,1,TATASTEEL
2024,Qtr 4,November,22,2024-11,1,TECHM
2024,Qtr 4,November,22,2024-11,1,TITAN
2024,Qtr 4,November,22,2024-11,1,TRENT
2024,Qtr 4,November,22,2024-11,1,ULTRACEMCO
