Year,Quarter,Month,Day,Month_Year,Percent of MonthlyReturn,Symbol
2023,Qtr 4,October,31,2023-10,1,ADANIPORTS
2023,Qtr 4,October,31,2023-10,1,AIRTEL
2023,Qtr 4,October,31,2023-10,1,APOLLOHOSP
2023,Qtr 4,October,31,2023-10,1,ASIANPAINT
2023,Qtr 4,October,31,2023-10,1,AXISBANK
2023,Qtr 4,November,30,2023-11,1,ADANIPORTS
2023,Qtr 4,November,30,2023-11,1,AIRTEL
2023,Qtr 4,November,30,2023-11,1,APOLLOHOSP
2023,Qtr 4,November,30,2023-11,1,ASIANPAINT
2023,Qtr 4,November,30,2023-11,1,AXISBANK
2023,Qtr 4,December,29,2023-12,1,ADANIPORTS
2023,Qtr 4,December,29,2023-12,1,AIRTEL
2023,Qtr 4,December,29,2023-12,1,APOLLOHOSP
2023,Qtr 4,December,29,2023-12,1,ASIANPAINT
2023,Qtr 4,December,29,2023-12,1,AXISBANK
2024,Qtr 1,January,31,2024-01,1,ADANIPORTS
2024,Qtr 1,January,31,2024-01,1,AIRTEL
2024,Qtr 1,January,31,2024-01,1,APOLLOHOSP
2024,Qtr 1,January,31,2024-01,1,ASIANPAINT
2024,Qtr 1,January,31,2024-01,1,AXISBANK
2024,Qtr 1,February,29,2024-02,1,ADANIPORTS
2024,Qtr 1,February,29,2024-02,1,AIRTEL
2024,Qtr 1,February,29,2024-02,1,APOLLOHOSP
2024,Qtr 1,February,29,2024-02,1,ASIANPAINT
2024,Qtr 1,February,29,2024-02,1,AXISBANK
2024,Qtr 1,March,28,2024-03,1,ADANIPORTS
2024,Qtr 1,March,28,2024-03,1,AIRTEL
2024,Qtr 1,March,28,2024-03,1,APOLLOHOSP
2024,Qtr 1,March,28,2024-03,1,ASIANPAINT
2024,Qtr 1,March,28,2024-03,1,AXISBANK
2024,Qtr 2,April,30,2024-04,1,ADANIPORTS
2024,Qtr 2,April,30,2024-04,1,AIRTEL
2024,Qtr 2,April,30,2024-04,1,APOLLOHOSP
2024,Qtr 2,April,30,2024-04,1,ASIANPAINT
2024,Qtr 2,April,30,2024-04,1,AXISBANK
2024,Qtr 2,May,31,2024-05,1,ADANIPORTS
2024,Qtr 2,May,31,2024-05,1,AIRTEL
2024,Qtr 2,May,31,2024-05,1,APOLLOHOSP
2024,Qtr 2,May,31,2024-05,1,ASIANPAINT
2024,Qtr 2,May,31,2024-05,1,AXISBANK
2024,Qtr 2,June,28,2024-06,1,ADANIPORTS
2024,Qtr 2,June,28,2024-06,1,AIRTEL
2024,Qtr 2,June,28,2024-06,1,APOLLOHOSP
2024,Qtr 2,June,28,2024-06,1,ASIANPAINT
2024,Qtr 2,June,28,2024-06,1,AXISBANK
2024,Qtr 3,July,31,2024-07,1,ADANIPORTS
2024,Qtr 3,July,31,2024-07,1,AIRTEL
2024,Qtr 3,July,31,2024-07,1,APOLLOHOSP
2024,Qtr 3,July,31,2024-07,1,ASIANPAINT
2024,Qtr 3,July,31,2024-07,1,AXISBANK
2024,Qtr 3,August,30,2024-08,1,ADANIPORTS
2024,Qtr 3,August,30,2024-08,1,AIRTEL
2024,Qtr 3,August,30,2024-08,1,APOLLOHOSP
2024,Qtr 3,August,30,2024-08,1,ASIANPAINT
2024,Qtr 3,August,30,2024-08,1,AXISBANK
2024,Qtr 3,September,30,2024-09,1,ADANIPORTS
2024,Qtr 3,September,30,2024-09,1,AIRTEL
2024,Qtr 3,September,30,2024-09,1,APOLLOHOSP
2024,Qtr 3,September,30,2024-09,1,ASIANPAINT
2024,Qtr 3,September,30,2024-09,1,AXISBANK
2024,Qtr 4,October,31,2024-10,1,ADANIPORTS
2024,Qtr 4,October,31,2024-10,1,AIRTEL
2024,Qtr 4,October,31,2024-10,1,APOLLOHOSP
2024,Qtr 4,October,31,2024-10,1,ASIANPAINT
2024,Qtr 4,October,31,2024-10,1,AXISBANK
2024,Qtr 4,November,22,2024-11,1,ADANIPORTS
2024,Qtr 4,November,22,2024-11,1,AIRTEL
2024,Qtr 4,November,22,2024-11,1,APOLLOHOSP
2024,Qtr 4,November,22,2024-11,1,ASIANPAINT
2024,Qtr 4,November,22,2024-11,1,AXISBANK
